Date,Q,P,T
26.06.1981 00:00:00,1.96,0,15.76
27.06.1981 00:00:00,1.82,0,19.66
28.06.1981 00:00:00,1.73,0,21.48
29.06.1981 00:00:00,1.77,13.5,20.6
30.06.1981 00:00:00,2.4,6.6,13.05
01.07.1981 00:00:00,2.28,2.6,10.13
02.07.1981 00:00:00,2.51,4.5,11.32
03.07.1981 00:00:00,2.72,11.1,10.69
04.07.1981 00:00:00,2.97,0,15.19
05.07.1981 00:00:00,2.78,0,16.76
06.07.1981 00:00:00,2.78,0,18.76
07.07.1981 00:00:00,2.65,21.1,18.88
08.07.1981 00:00:00,3.11,0,16.96
09.07.1981 00:00:00,2.78,0,19.8
10.07.1981 00:00:00,2.78,11.6,19.04
11.07.1981 00:00:00,2.68,0,17.89
12.07.1981 00:00:00,2.36,3.1,19.2
13.07.1981 00:00:00,2.18,2.6,19.7
14.07.1981 00:00:00,2.15,0,14.05
15.07.1981 00:00:00,1.97,0,14.48
16.07.1981 00:00:00,1.87,0,16.57
17.07.1981 00:00:00,1.77,10.3,15.17
18.07.1981 00:00:00,1.9,4.6,13.05
19.07.1981 00:00:00,1.85,6.2,15.67
20.07.1981 00:00:00,1.73,0,16.52
21.07.1981 00:00:00,1.73,7.5,15.13
22.07.1981 00:00:00,1.58,0,13.78
23.07.1981 00:00:00,1.42,0,11.48
24.07.1981 00:00:00,1.21,0.7,11.59
25.07.1981 00:00:00,1.12,0,12.26
26.07.1981 00:00:00,1.12,0,14.85
27.07.1981 00:00:00,1.12,0,16.82
28.07.1981 00:00:00,1.08,0,17.26
29.07.1981 00:00:00,1.09,0,16.13
30.07.1981 00:00:00,1.11,5,12.2
31.07.1981 00:00:00,1.07,0,13.24
01.08.1981 00:00:00,0.96,0,15.87
02.08.1981 00:00:00,0.83,0,18.02
03.08.1981 00:00:00,0.83,6.6,19.63
04.08.1981 00:00:00,0.85,9.8,18.63
05.08.1981 00:00:00,0.83,4.2,18.1
06.08.1981 00:00:00,0.83,3.5,20.39
07.08.1981 00:00:00,0.83,2.4,16.7
08.08.1981 00:00:00,0.71,1.7,14.15
09.08.1981 00:00:00,0.83,5,12.85
10.08.1981 00:00:00,0.83,0,12.22
11.08.1981 00:00:00,0.83,0,15.57
12.08.1981 00:00:00,0.83,3.4,15.52
13.08.1981 00:00:00,0.83,1.2,17.22
14.08.1981 00:00:00,0.83,4.8,18.94
15.08.1981 00:00:00,0.83,0,16.18
16.08.1981 00:00:00,0.83,0,16.41
17.08.1981 00:00:00,0.83,0,18.21
18.08.1981 00:00:00,0.81,0,20.68
19.08.1981 00:00:00,0.64,4,18.33
20.08.1981 00:00:00,0.6,0,15.8
21.08.1981 00:00:00,0.57,0,18.39
22.08.1981 00:00:00,0.68,0,22.11
23.08.1981 00:00:00,0.61,1.4,23.61
24.08.1981 00:00:00,0.32,0,22.85
25.08.1981 00:00:00,0.27,0,21.03
26.08.1981 00:00:00,0.32,3.3,23.58
27.08.1981 00:00:00,0.28,3.6,13.86
28.08.1981 00:00:00,0.43,0,14.04
29.08.1981 00:00:00,0.38,0,14.04
30.08.1981 00:00:00,0.38,0,11.26
31.08.1981 00:00:00,0.46,0,11.79
01.09.1981 00:00:00,0.35,0,13.65
02.09.1981 00:00:00,0.31,0,14.51
03.09.1981 00:00:00,0.35,0,17.91
04.09.1981 00:00:00,0.42,9.8,20.05
05.09.1981 00:00:00,0.34,0.6,16.52
06.09.1981 00:00:00,0.41,1.5,14.03
07.09.1981 00:00:00,0.74,4.7,14.53
08.09.1981 00:00:00,0.82,4.6,12.45
09.09.1981 00:00:00,0.83,2.3,15.28
10.09.1981 00:00:00,0.75,0,19.08
11.09.1981 00:00:00,0.67,20.6,19.26
12.09.1981 00:00:00,0.83,0,16.35
13.09.1981 00:00:00,0.65,1,17.4
