Date;Obs;Sim;Sim_Error
1989-11-05;4.030000;8.914786;0.497308
1989-11-06;4.410000;9.201891;0.532707
1989-11-07;4.520000;9.711265;0.518254
1989-11-08;4.500000;9.536300;0.517259
1989-11-09;5.240000;9.804656;0.515115
1989-11-10;6.050000;9.798261;0.506038
1989-11-11;6.470000;9.910361;0.519474
1989-11-12;6.220000;9.456792;0.524206
1989-11-13;5.690000;9.500975;0.512207
1989-11-14;5.420000;9.142783;0.519588
1989-11-15;4.970000;9.286458;0.510128
1989-11-16;4.590000;9.434949;0.493626
1989-11-17;4.350000;9.853350;0.499050
1989-11-18;4.030000;9.664666;0.491375
1989-11-19;3.670000;9.797686;0.494793
1989-11-20;3.350000;9.518149;0.484437
1989-11-21;3.170000;9.491203;0.484440
1989-11-22;3.170000;9.285543;0.476070
1989-11-23;3.170000;9.297501;0.482438
1989-11-24;2.980000;9.046046;0.444836
1989-11-25;2.780000;9.119628;0.481243
1989-11-26;2.780000;8.818037;0.450888
1989-11-27;2.780000;8.488481;0.443460
1989-11-28;2.780000;8.430749;0.438704
1989-11-29;3.690000;9.776721;0.452245
1989-11-30;4.310000;10.712339;0.463433
1989-12-01;4.930000;11.464807;0.478332
1989-12-02;5.480000;10.855763;0.454488
1989-12-03;5.500000;10.814050;0.455893
1989-12-04;5.500000;10.088671;0.438850
1989-12-05;5.110000;9.809345;0.463232
1989-12-06;4.960000;9.481211;0.438940
1989-12-07;4.980000;10.070038;0.454588
1989-12-08;5.130000;10.384450;0.443180
1989-12-09;5.660000;10.870110;0.457587
1989-12-10;6.150000;10.993666;0.443947
1989-12-11;6.820000;11.187247;0.472026
1989-12-12;7.140000;11.467561;0.426239
1989-12-13;7.140000;11.510876;0.439295
1989-12-14;9.270000;12.230437;0.426744
1989-12-15;13.570000;13.016289;0.444676
1989-12-16;16.650000;14.481260;0.452877
1989-12-17;17.100000;15.596781;0.483397
1989-12-18;16.360000;16.051281;0.466638
1989-12-19;15.100000;16.154341;0.470567
1989-12-20;14.090000;16.134146;0.478175
1989-12-21;13.150000;15.923462;0.458716
1989-12-22;12.670000;15.655964;0.470413
1989-12-23;11.690000;15.748245;0.459655
1989-12-24;10.770000;15.925630;0.480590
1989-12-25;10.770000;16.584569;0.466353
1989-12-26;10.770000;17.217757;0.468337
1989-12-27;10.770000;17.264475;0.458725
1989-12-28;10.770000;17.201143;0.458407
1989-12-29;10.770000;16.641063;0.446583
1989-12-30;10.440000;16.401732;0.437891
1989-12-31;10.020000;15.845650;0.430492
1990-01-01;9.320000;15.747729;0.436723
1990-01-02;8.890000;14.840971;0.424631
1990-01-03;8.300000;14.608404;0.404402
1990-01-04;7.770000;14.326745;0.391782
1990-01-05;7.320000;14.978507;0.408195
1990-01-06;7.140000;14.579512;0.408655
1990-01-07;7.140000;14.467263;0.401543
1990-01-08;7.140000;13.607847;0.405101
1990-01-09;7.740000;14.279477;0.390886
1990-01-10;9.480000;14.292826;0.412348
1990-01-11;11.220000;14.735082;0.399526
1990-01-12;12.170000;14.711652;0.394290
1990-01-13;12.690000;14.905392;0.404769
1990-01-14;12.370000;14.436278;0.404778
1990-01-15;11.700000;14.468185;0.393788
1990-01-16;10.780000;13.769553;0.390885
1990-01-17;10.330000;13.598875;0.393256
1990-01-18;9.460000;12.797836;0.387047
1990-01-19;8.790000;12.677510;0.375473
1990-01-20;8.210000;12.329790;0.376176
1990-01-21;7.660000;12.765761;0.373417
1990-01-22;7.220000;12.654621;0.359700
1990-01-23;7.080000;13.046950;0.361395
1990-01-24;6.640000;13.002476;0.355360
1990-01-25;6.560000;13.023470;0.363389
1990-01-26;6.100000;12.792262;0.356050
1990-01-27;5.710000;12.466817;0.365305
1990-01-28;5.910000;12.464038;0.370484
1990-01-29;6.520000;13.641006;0.367354
